,mdl,category,sta,sta_s,ata,ata_s,cost_300,cost_900,cost_1800,cost_3600
95,B738,Medium,16:45:00,60300,17:00:29,61229,0.83,1.28,2.1,4.38
96,A333,Heavy,16:46:00,60360,16:46:00,60360,1.57,2.31,3.79,8.04
97,A343,Heavy,16:54:00,60840,16:54:00,60840,1.63,2.39,3.94,8.42
98,A320,Medium,16:55:00,60900,17:17:12,62232,0.83,1.25,2.02,4.19
99,B772,Heavy,16:56:00,60960,16:56:00,60960,1.83,2.68,4.41,9.35
100,XXXX,Light,16:59:00,61140,16:59:00,61140,0.12,0.19,0.33,0.75
101,B772,Heavy,16:59:00,61140,16:59:00,61140,1.83,2.68,4.41,9.35
102,A321,Medium,17:00:00,61200,17:02:36,61356,0.93,1.42,2.37,4.97
103,A320,Medium,17:00:00,61200,16:51:43,60703,0.83,1.25,2.02,4.19
104,XXXX,Light,17:01:00,61260,17:01:00,61260,0.12,0.19,0.33,0.75
105,CRJX,Medium,17:05:00,61500,16:55:59,60959,0.35,0.51,0.85,1.84
106,A320,Medium,17:05:00,61500,17:02:48,61368,0.83,1.25,2.02,4.19
107,B738,Medium,17:05:00,61500,17:26:37,62797,0.83,1.28,2.1,4.38
108,A343,Heavy,17:06:00,61560,17:06:00,61560,1.63,2.39,3.94,8.42
109,A333,Heavy,17:09:00,61740,17:09:00,61740,1.57,2.31,3.79,8.04
110,XXXX,Light,17:09:00,61740,17:09:00,61740,0.12,0.19,0.33,0.75
111,E145,Medium,17:10:00,61800,16:53:20,60800,0.3,0.45,0.73,1.55
112,A333,Heavy,17:10:00,61800,17:10:00,61800,1.57,2.31,3.79,8.04
113,A319,Medium,17:10:00,61800,17:11:04,61864,0.73,1.12,1.8,3.68
114,B738,Medium,17:10:00,61800,17:15:14,62114,0.83,1.28,2.1,4.38
115,B77W,Heavy,17:11:00,61860,17:11:00,61860,2.97,4.37,7.09,14.74
116,XXXX,Light,17:13:00,61980,17:13:00,61980,0.12,0.19,0.33,0.75
117,B77W,Heavy,17:13:00,61980,17:13:00,61980,2.97,4.37,7.09,14.74
118,XXXX,Light,17:15:00,62100,17:15:00,62100,0.12,0.19,0.33,0.75
119,A320,Medium,17:15:00,62100,17:12:37,61957,0.83,1.25,2.02,4.19
120,B738,Medium,17:15:00,62100,17:16:40,62200,0.83,1.28,2.1,4.38
121,A320,Medium,17:15:00,62100,17:07:55,61675,0.83,1.25,2.02,4.19
122,A320,Medium,17:20:00,62400,17:04:59,61499,0.83,1.25,2.02,4.19
123,XXXX,Light,17:20:00,62400,17:20:00,62400,0.12,0.19,0.33,0.75
124,B772,Heavy,17:21:00,62460,17:21:00,62460,1.83,2.68,4.41,9.35
125,XXXX,Light,17:22:00,62520,17:22:00,62520,0.12,0.19,0.33,0.75
126,AT45,Medium,17:25:00,62700,17:10:05,61805,0.26,0.38,0.61,1.27
127,A321,Medium,17:25:00,62700,17:13:08,61988,0.93,1.42,2.37,4.97
128,B772,Heavy,17:28:00,62880,17:28:00,62880,1.83,2.68,4.41,9.35
129,XXXX,Light,17:29:00,62940,17:29:00,62940,0.12,0.19,0.33,0.75
130,XXXX,Light,17:29:00,62940,17:29:00,62940,0.12,0.19,0.33,0.75
131,A343,Heavy,17:30:00,63000,17:30:00,63000,1.63,2.39,3.94,8.42
132,A320,Medium,17:30:00,63000,17:49:09,64149,0.83,1.25,2.02,4.19
133,E145,Medium,17:30:00,63000,17:29:32,62972,0.3,0.45,0.73,1.55
134,XXXX,Light,17:31:00,63060,17:31:00,63060,0.12,0.19,0.33,0.75
135,XXXX,Light,17:31:00,63060,17:31:00,63060,0.12,0.19,0.33,0.75
136,E145,Medium,17:35:00,63300,17:39:11,63551,0.3,0.45,0.73,1.55
137,CRJ7,Medium,17:35:00,63300,17:14:40,62080,0.41,0.61,1.0,2.11
138,A320,Medium,17:35:00,63300,18:07:45,65265,0.83,1.25,2.02,4.19
139,XXXX,Light,17:35:00,63300,17:35:00,63300,0.12,0.19,0.33,0.75
140,XXXX,Light,17:36:00,63360,17:36:00,63360,0.12,0.19,0.33,0.75
141,B772,Heavy,17:38:00,63480,17:38:00,63480,1.83,2.68,4.41,9.35
142,XXXX,Light,17:38:00,63480,17:38:00,63480,0.12,0.19,0.33,0.75
143,A343,Heavy,17:40:00,63600,17:40:00,63600,1.63,2.39,3.94,8.42
144,B738,Medium,17:40:00,63600,17:47:04,64024,0.83,1.28,2.1,4.38
145,A333,Heavy,17:40:00,63600,18:05:35,65135,1.57,2.31,3.79,8.04
146,CRJX,Medium,17:40:00,63600,17:23:51,62631,0.35,0.51,0.85,1.84
147,XXXX,Light,17:43:00,63780,17:43:00,63780,0.12,0.19,0.33,0.75
148,E145,Medium,17:45:00,63900,17:25:58,62758,0.3,0.45,0.73,1.55
149,B77W,Heavy,17:46:00,63960,17:46:00,63960,2.97,4.37,7.09,14.74
150,A333,Heavy,17:46:00,63960,17:46:00,63960,1.57,2.31,3.79,8.04
151,XXXX,Light,17:50:00,64200,17:50:00,64200,0.12,0.19,0.33,0.75
152,CRJX,Medium,17:50:00,64200,18:11:15,65475,0.35,0.51,0.85,1.84
153,B772,Heavy,17:51:00,64260,17:51:00,64260,1.83,2.68,4.41,9.35
154,B772,Heavy,17:53:00,64380,17:53:00,64380,1.83,2.68,4.41,9.35
155,B772,Heavy,17:54:00,64440,17:54:00,64440,1.83,2.68,4.41,9.35
156,B738,Medium,17:55:00,64500,17:49:52,64192,0.83,1.28,2.1,4.38
157,A318,Medium,17:55:00,64500,17:30:37,63037,0.74,1.09,1.78,3.73
158,CRJX,Medium,17:55:00,64500,18:12:58,65578,0.35,0.51,0.85,1.84
159,B744,Heavy,17:59:00,64740,17:59:00,64740,2.37,3.42,5.58,11.79
160,A319,Medium,18:00:00,64800,17:43:30,63810,0.73,1.12,1.8,3.68
161,XXXX,Light,18:03:00,64980,18:03:00,64980,0.12,0.19,0.33,0.75
162,A343,Heavy,18:03:00,64980,18:03:00,64980,1.63,2.39,3.94,8.42
163,XXXX,Light,18:04:00,65040,18:04:00,65040,0.12,0.19,0.33,0.75
164,CRJX,Medium,18:05:00,65100,18:23:08,66188,0.35,0.51,0.85,1.84
165,A343,Heavy,18:05:00,65100,18:05:00,65100,1.63,2.39,3.94,8.42
166,XXXX,Light,18:05:00,65100,18:05:00,65100,0.12,0.19,0.33,0.75
167,XXXX,Light,18:10:00,65400,18:10:00,65400,0.12,0.19,0.33,0.75
168,XXXX,Light,18:11:00,65460,18:11:00,65460,0.12,0.19,0.33,0.75
169,B738,Medium,18:15:00,65700,17:51:02,64262,0.83,1.28,2.1,4.38
170,B77W,Heavy,18:15:00,65700,18:32:22,66742,2.97,4.37,7.09,14.74
171,B733,Medium,18:15:00,65700,18:36:39,66999,0.7,1.07,1.72,3.51
172,B744,Heavy,18:15:00,65700,18:15:00,65700,2.37,3.42,5.58,11.79
173,XXXX,Light,18:16:00,65760,18:16:00,65760,0.12,0.19,0.33,0.75
174,A320,Medium,18:20:00,66000,18:46:42,67602,0.83,1.25,2.02,4.19
175,CRJ7,Medium,18:20:00,66000,18:10:13,65413,0.41,0.61,1.0,2.11
176,B744,Heavy,18:22:00,66120,18:22:00,66120,2.37,3.42,5.58,11.79
177,A320,Medium,18:25:00,66300,18:06:27,65187,0.83,1.25,2.02,4.19
178,B772,Heavy,18:25:00,66300,18:25:00,66300,1.83,2.68,4.41,9.35
179,A333,Heavy,18:26:00,66360,18:26:00,66360,1.57,2.31,3.79,8.04
180,XXXX,Light,18:26:00,66360,18:26:00,66360,0.12,0.19,0.33,0.75
181,A320,Medium,18:30:00,66600,18:47:13,67633,0.83,1.25,2.02,4.19
182,A320,Medium,18:30:00,66600,18:32:26,66746,0.83,1.25,2.02,4.19
183,A333,Heavy,18:32:00,66720,18:32:00,66720,1.57,2.31,3.79,8.04
184,XXXX,Light,18:33:00,66780,18:33:00,66780,0.12,0.19,0.33,0.75
185,A320,Medium,18:35:00,66900,18:56:20,68180,0.83,1.25,2.02,4.19
186,B738,Medium,18:35:00,66900,18:29:12,66552,0.83,1.28,2.1,4.38
187,XXXX,Light,18:35:00,66900,18:35:00,66900,0.12,0.19,0.33,0.75
188,A320,Medium,18:35:00,66900,18:30:37,66637,0.83,1.25,2.02,4.19
189,A318,Medium,18:40:00,67200,18:28:38,66518,0.74,1.09,1.78,3.73
190,XXXX,Light,18:40:00,67200,18:40:00,67200,0.12,0.19,0.33,0.75
191,A332,Heavy,18:40:00,67200,18:35:20,66920,1.57,2.28,3.79,8.13
192,B772,Heavy,18:46:00,67560,18:46:00,67560,1.83,2.68,4.41,9.35
193,XXXX,Light,18:47:00,67620,18:47:00,67620,0.12,0.19,0.33,0.75
194,XXXX,Light,18:49:00,67740,18:49:00,67740,0.12,0.19,0.33,0.75
195,B744,Heavy,18:49:00,67740,18:49:00,67740,2.37,3.42,5.58,11.79
196,A343,Heavy,18:50:00,67800,18:50:00,67800,1.63,2.39,3.94,8.42
197,E190,Medium,18:50:00,67800,18:58:13,68293,0.6,0.85,1.32,2.62
198,XXXX,Light,18:52:00,67920,18:52:00,67920,0.12,0.19,0.33,0.75
199,A333,Heavy,18:53:00,67980,18:53:00,67980,1.57,2.31,3.79,8.04
200,A333,Heavy,18:53:00,67980,18:53:00,67980,1.57,2.31,3.79,8.04
201,B744,Heavy,18:55:00,68100,18:55:00,68100,2.37,3.42,5.58,11.79
202,B738,Medium,19:00:00,68400,18:49:51,67791,0.83,1.28,2.1,4.38
